match_id,season,date,venue,team1,team2,toss_winner,toss_decision,innings1_team,innings1_score,innings1_wickets,innings1_overs,innings2_team,innings2_score,innings2_wickets,innings2_overs,winner,margin,margin_type,day_night,nrr_team1,nrr_team2
305,2012,2012-04-11,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,130,6,18.2,Sunrisers Hyderabad,125,8,11.7,Sunrisers Hyderabad,2,wickets,True,-3.49,3.49
306,2012,2012-03-03,"M. Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Sunrisers Hyderabad,204,5,18.1,Rajasthan Royals,221,3,17.2,Sunrisers Hyderabad,17,runs,True,-1.527,1.527
307,2012,2012-04-03,"Rajiv Gandhi International Stadium, Hyderabad",Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Gujarat Titans,175,7,19.3,Delhi Capitals,165,5,16.5,Delhi Capitals,5,wickets,True,-0.938,0.938
308,2012,2012-03-24,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,175,5,19.4,Delhi Capitals,88,8,19.9,Delhi Capitals,2,wickets,False,4.624,-4.624
309,2012,2012-03-04,"Wankhede Stadium, Mumbai",Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,186,4,19.3,Chennai Super Kings,163,5,12.6,Chennai Super Kings,5,wickets,False,-3.3,3.3
310,2012,2012-03-12,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,154,3,19.4,Sunrisers Hyderabad,115,7,15.4,Sunrisers Hyderabad,3,wickets,True,0.473,-0.473
311,2012,2012-04-20,"Wankhede Stadium, Mumbai",Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,Rajasthan Royals,144,9,19.7,Gujarat Titans,92,6,16.3,Gujarat Titans,4,wickets,True,1.657,-1.657
312,2012,2012-04-22,"Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,186,2,19.2,Punjab Kings,171,2,12.4,Punjab Kings,8,wickets,True,-4.046,4.046
313,2012,2012-04-09,"M.A. Chidambaram Stadium, Chennai",Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,142,8,19.4,Chennai Super Kings,142,1,10.3,Chennai Super Kings,9,wickets,True,-6.485,6.485
314,2012,2012-04-22,"Sawai Mansingh Stadium, Jaipur",Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,202,4,19.4,Punjab Kings,171,1,19.6,Punjab Kings,9,wickets,True,1.692,-1.692
315,2012,2012-04-20,"M. Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,177,7,18.4,Mumbai Indians,209,5,14.6,Rajasthan Royals,32,runs,True,-4.691,4.691
316,2012,2012-04-08,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,177,4,18.1,Punjab Kings,108,8,14.3,Punjab Kings,2,wickets,True,2.247,-2.247
317,2012,2012-03-24,"Arun Jaitley Stadium, Delhi",Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,bat,Royal Challengers Bengaluru,184,2,19.5,Punjab Kings,187,4,13.8,Royal Challengers Bengaluru,3,runs,True,-4.129,4.129
318,2012,2012-04-16,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,field,Kolkata Knight Riders,170,7,18.9,Lucknow Super Giants,109,7,14.6,Lucknow Super Giants,3,wickets,True,1.536,-1.536
319,2012,2012-04-19,"M.A. Chidambaram Stadium, Chennai",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,211,2,18.8,Kolkata Knight Riders,177,6,19.3,Kolkata Knight Riders,4,wickets,False,2.043,-2.043
320,2012,2012-04-01,"Wankhede Stadium, Mumbai",Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Rajasthan Royals,221,2,18.4,Gujarat Titans,97,3,14.0,Gujarat Titans,7,wickets,True,5.067,-5.067
321,2012,2012-03-04,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,field,Lucknow Super Giants,153,4,19.1,Chennai Super Kings,129,2,10.2,Chennai Super Kings,8,wickets,True,-4.583,4.583
322,2012,2012-03-06,"M.A. Chidambaram Stadium, Chennai",Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings,182,6,19.2,Punjab Kings,161,9,10.9,Punjab Kings,1,wickets,True,-5.323,5.323
323,2012,2012-03-29,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,168,9,18.3,Punjab Kings,144,9,13.8,Punjab Kings,1,wickets,True,-1.26,1.26
324,2012,2012-03-05,"Ekana Cricket Stadium, Lucknow",Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Mumbai Indians,187,7,18.3,Delhi Capitals,157,5,16.7,Delhi Capitals,5,wickets,True,0.838,-0.838
325,2012,2012-04-02,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Royal Challengers Bengaluru,150,7,20.0,Sunrisers Hyderabad,163,1,11.6,Royal Challengers Bengaluru,13,runs,True,-6.539,6.539
326,2012,2012-04-26,"Punjab Cricket Association Stadium, Mohali",Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Delhi Capitals,172,4,19.4,Chennai Super Kings,157,6,12.1,Chennai Super Kings,4,wickets,True,-4.132,4.132
327,2012,2012-03-24,"Sawai Mansingh Stadium, Jaipur",Gujarat Titans,Punjab Kings,Punjab Kings,bat,Gujarat Titans,198,2,18.5,Punjab Kings,178,1,19.9,Punjab Kings,9,wickets,False,1.749,-1.749
328,2012,2012-03-23,"M. Chinnaswamy Stadium, Bengaluru",Gujarat Titans,Chennai Super Kings,Chennai Super Kings,bat,Gujarat Titans,133,4,19.6,Chennai Super Kings,83,9,18.8,Chennai Super Kings,1,wickets,False,2.361,-2.361
329,2012,2012-03-24,"Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,Lucknow Super Giants,141,4,18.3,Chennai Super Kings,158,1,12.5,Lucknow Super Giants,17,runs,True,-4.962,4.962
330,2012,2012-04-06,"M.A. Chidambaram Stadium, Chennai",Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,Delhi Capitals,132,4,19.1,Lucknow Super Giants,130,3,12.8,Lucknow Super Giants,7,wickets,True,-3.213,3.213
331,2012,2012-03-21,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,bat,Rajasthan Royals,148,9,19.0,Royal Challengers Bengaluru,140,8,16.5,Royal Challengers Bengaluru,2,wickets,True,-0.68,0.68
332,2012,2012-04-16,"Punjab Cricket Association Stadium, Mohali",Gujarat Titans,Delhi Capitals,Delhi Capitals,bat,Gujarat Titans,201,2,19.2,Delhi Capitals,108,1,12.4,Delhi Capitals,9,wickets,False,1.761,-1.761
333,2012,2012-04-19,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Chennai Super Kings,222,8,18.6,Gujarat Titans,217,5,15.6,Gujarat Titans,5,wickets,True,-1.96,1.96
334,2013,2013-03-23,"Ekana Cricket Stadium, Lucknow",Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Chennai Super Kings,188,8,19.2,Royal Challengers Bengaluru,150,3,17.5,Royal Challengers Bengaluru,7,wickets,False,1.205,-1.205
335,2013,2013-04-09,"M.A. Chidambaram Stadium, Chennai",Delhi Capitals,Lucknow Super Giants,Delhi Capitals,bat,Delhi Capitals,203,8,18.6,Lucknow Super Giants,127,9,17.6,Lucknow Super Giants,1,wickets,True,3.715,-3.715
336,2013,2013-03-17,"Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,184,4,18.5,Lucknow Super Giants,139,4,17.4,Lucknow Super Giants,6,wickets,True,1.985,-1.985
337,2013,2013-03-08,"M.A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,213,8,19.2,Chennai Super Kings,176,4,17.9,Chennai Super Kings,6,wickets,False,1.258,-1.258
338,2013,2013-03-27,"Ekana Cricket Stadium, Lucknow",Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,198,6,18.0,Kolkata Knight Riders,125,2,16.4,Kolkata Knight Riders,8,wickets,True,3.351,-3.351
339,2013,2013-03-26,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,Sunrisers Hyderabad,143,9,18.9,Punjab Kings,127,6,19.2,Punjab Kings,4,wickets,False,0.938,-0.938
340,2013,2013-04-08,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,186,6,19.0,Mumbai Indians,149,6,11.5,Mumbai Indians,4,wickets,False,-3.144,3.144
341,2013,2013-03-22,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,138,9,18.7,Delhi Capitals,90,5,14.1,Delhi Capitals,5,wickets,False,0.977,-0.977
342,2013,2013-03-18,"Wankhede Stadium, Mumbai",Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,127,8,19.4,Mumbai Indians,94,8,19.1,Mumbai Indians,2,wickets,True,1.601,-1.601
343,2013,2013-04-06,"M. Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Mumbai Indians,144,2,19.3,Punjab Kings,125,8,17.6,Punjab Kings,2,wickets,True,0.356,-0.356
344,2013,2013-04-02,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,Rajasthan Royals,162,8,19.8,Lucknow Super Giants,106,8,19.6,Lucknow Super Giants,2,wickets,True,2.773,-2.773
345,2013,2013-03-19,"Eden Gardens, Kolkata",Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Mumbai Indians,137,3,19.9,Royal Challengers Bengaluru,113,2,19.6,Royal Challengers Bengaluru,8,wickets,True,1.115,-1.115
346,2013,2013-04-20,"Eden Gardens, Kolkata",Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians,168,3,19.9,Punjab Kings,122,3,12.6,Punjab Kings,7,wickets,True,-1.267,1.267
347,2013,2013-04-10,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,203,7,18.5,Mumbai Indians,229,3,11.6,Rajasthan Royals,26,runs,True,-8.756,8.756
348,2013,2013-03-27,"M.A. Chidambaram Stadium, Chennai",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Rajasthan Royals,150,6,18.3,Sunrisers Hyderabad,173,7,19.4,Rajasthan Royals,23,runs,True,-0.684,0.684
349,2013,2013-03-09,"Wankhede Stadium, Mumbai",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,175,8,19.7,Mumbai Indians,164,1,17.8,Mumbai Indians,9,wickets,True,-0.34,0.34
350,2013,2013-03-06,"Ekana Cricket Stadium, Lucknow",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,149,8,19.3,Delhi Capitals,85,7,17.1,Delhi Capitals,3,wickets,True,2.763,-2.763
351,2013,2013-04-27,"Arun Jaitley Stadium, Delhi",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,208,2,18.4,Kolkata Knight Riders,152,3,10.7,Kolkata Knight Riders,7,wickets,False,-2.881,2.881
352,2013,2013-03-06,"Ekana Cricket Stadium, Lucknow",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Rajasthan Royals,223,3,19.4,Kolkata Knight Riders,91,6,16.9,Kolkata Knight Riders,4,wickets,False,6.095,-6.095
353,2013,2013-03-26,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,192,7,19.4,Mumbai Indians,163,9,16.8,Mumbai Indians,1,wickets,False,0.172,-0.172
354,2013,2013-04-03,"Wankhede Stadium, Mumbai",Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,Punjab Kings,188,9,18.5,Kolkata Knight Riders,202,5,11.7,Punjab Kings,14,runs,False,-7.055,7.055
355,2013,2013-03-19,"Narendra Modi Stadium, Ahmedabad",Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,183,4,18.4,Gujarat Titans,171,1,15.5,Gujarat Titans,9,wickets,True,-1.057,1.057
356,2013,2013-04-19,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Kolkata Knight Riders,182,3,19.9,Punjab Kings,160,7,19.2,Punjab Kings,3,wickets,True,0.841,-0.841
357,2013,2013-04-23,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,Rajasthan Royals,145,2,18.2,Lucknow Super Giants,227,1,13.5,Rajasthan Royals,82,runs,True,-8.835,8.835
358,2013,2013-04-24,"M.A. Chidambaram Stadium, Chennai",Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Gujarat Titans,147,4,18.0,Delhi Capitals,202,3,13.3,Gujarat Titans,55,runs,False,-7.026,7.026
359,2013,2013-03-13,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,206,8,19.4,Mumbai Indians,149,2,16.5,Mumbai Indians,8,wickets,True,1.603,-1.603
360,2013,2013-04-10,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,Chennai Super Kings,176,3,18.3,Royal Challengers Bengaluru,147,9,12.8,Royal Challengers Bengaluru,1,wickets,True,-1.805,1.805
361,2013,2013-04-26,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Delhi Capitals,206,4,18.2,Gujarat Titans,212,6,13.5,Delhi Capitals,6,runs,True,-4.456,4.456
362,2013,2013-04-09,"Ekana Cricket Stadium, Lucknow",Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Rajasthan Royals,165,4,19.0,Royal Challengers Bengaluru,181,1,18.0,Rajasthan Royals,16,runs,False,-1.339,1.339
363,2013,2013-03-06,"Wankhede Stadium, Mumbai",Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,bat,Delhi Capitals,137,7,18.1,Royal Challengers Bengaluru,82,5,13.4,Royal Challengers Bengaluru,5,wickets,False,1.426,-1.426
364,2013,2013-04-24,"Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,223,9,19.2,Gujarat Titans,105,6,17.1,Gujarat Titans,4,wickets,True,5.48,-5.48
365,2013,2013-03-06,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,224,2,19.3,Chennai Super Kings,151,1,12.8,Chennai Super Kings,9,wickets,False,-0.249,0.249
366,2013,2013-04-15,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Punjab Kings,124,2,18.9,Sunrisers Hyderabad,149,4,17.2,Punjab Kings,25,runs,True,-2.088,2.088
367,2013,2013-03-08,"Ekana Cricket Stadium, Lucknow",Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,field,Rajasthan Royals,225,5,19.0,Royal Challengers Bengaluru,99,1,19.4,Royal Challengers Bengaluru,9,wickets,True,6.772,-6.772
368,2013,2013-04-28,"Rajiv Gandhi International Stadium, Hyderabad",Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,bat,Lucknow Super Giants,221,2,18.1,Sunrisers Hyderabad,150,6,10.7,Sunrisers Hyderabad,4,wickets,True,-1.755,1.755
369,2013,2013-03-01,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Rajasthan Royals,173,2,19.5,Delhi Capitals,210,1,10.9,Rajasthan Royals,37,runs,True,-10.462,10.462
370,2013,2013-04-07,"Rajiv Gandhi International Stadium, Hyderabad",Gujarat Titans,Rajasthan Royals,Gujarat Titans,field,Gujarat Titans,180,6,19.7,Rajasthan Royals,219,4,18.5,Gujarat Titans,39,runs,True,-2.706,2.706
371,2013,2013-04-09,"M. Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Mumbai Indians,Mumbai Indians,bat,Lucknow Super Giants,128,3,18.7,Mumbai Indians,108,4,15.2,Mumbai Indians,6,wickets,True,-0.251,0.251
372,2013,2013-03-18,"Eden Gardens, Kolkata",Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Delhi Capitals,161,3,18.2,Gujarat Titans,184,5,16.7,Delhi Capitals,23,runs,True,-2.163,2.163
373,2013,2013-04-17,"Eden Gardens, Kolkata",Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Lucknow Super Giants,177,2,18.1,Sunrisers Hyderabad,83,3,15.0,Sunrisers Hyderabad,7,wickets,True,4.241,-4.241
374,2013,2013-04-10,"Punjab Cricket Association Stadium, Mohali",Gujarat Titans,Rajasthan Royals,Gujarat Titans,field,Gujarat Titans,214,4,18.7,Rajasthan Royals,121,6,16.0,Rajasthan Royals,4,wickets,True,3.869,-3.869
375,2013,2013-03-15,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Delhi Capitals,Punjab Kings,bat,Punjab Kings,160,5,19.8,Delhi Capitals,159,1,18.6,Delhi Capitals,9,wickets,False,-0.484,0.484
376,2013,2013-04-17,"Wankhede Stadium, Mumbai",Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,177,5,19.9,Rajasthan Royals,84,3,18.7,Rajasthan Royals,7,wickets,True,4.39,-4.39
377,2013,2013-03-29,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Rajasthan Royals,223,9,18.9,Royal Challengers Bengaluru,101,3,11.4,Royal Challengers Bengaluru,7,wickets,True,2.939,-2.939
378,2013,2013-04-25,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,213,2,18.2,Delhi Capitals,91,7,16.5,Delhi Capitals,3,wickets,False,6.168,-6.168
379,2013,2013-04-20,"Ekana Cricket Stadium, Lucknow",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,209,8,19.0,Kolkata Knight Riders,135,3,15.1,Kolkata Knight Riders,7,wickets,False,2.017,-2.017
380,2013,2013-03-25,"Arun Jaitley Stadium, Delhi",Gujarat Titans,Chennai Super Kings,Chennai Super Kings,bat,Gujarat Titans,172,4,18.5,Chennai Super Kings,145,6,17.9,Chennai Super Kings,4,wickets,False,1.2,-1.2
381,2013,2013-04-27,"Eden Gardens, Kolkata",Gujarat Titans,Royal Challengers Bengaluru,Gujarat Titans,field,Gujarat Titans,132,5,18.3,Royal Challengers Bengaluru,132,5,10.9,Royal Challengers Bengaluru,5,wickets,True,-4.941,4.941
382,2013,2013-03-10,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,field,Kolkata Knight Riders,219,9,18.5,Gujarat Titans,192,1,15.6,Gujarat Titans,9,wickets,True,-0.452,0.452
383,2013,2013-03-20,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders,203,3,18.1,Mumbai Indians,212,4,18.8,Kolkata Knight Riders,9,runs,True,-0.055,0.055
384,2013,2013-04-23,"Eden Gardens, Kolkata",Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,124,7,19.1,Punjab Kings,175,1,10.4,Sunrisers Hyderabad,51,runs,True,-10.421,10.421
385,2013,2013-04-22,"Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,bat,Lucknow Super Giants,128,8,18.9,Royal Challengers Bengaluru,150,8,10.1,Lucknow Super Giants,22,runs,False,-8.128,8.128
386,2013,2013-03-12,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,173,4,19.9,Mumbai Indians,202,4,14.5,Sunrisers Hyderabad,29,runs,True,-5.28,5.28
387,2013,2013-03-25,"Sawai Mansingh Stadium, Jaipur",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,167,9,19.9,Delhi Capitals,124,6,14.4,Delhi Capitals,4,wickets,True,-0.191,0.191
388,2013,2013-04-01,"Punjab Cricket Association Stadium, Mohali",Gujarat Titans,Delhi Capitals,Gujarat Titans,field,Gujarat Titans,144,7,19.5,Delhi Capitals,198,2,15.0,Gujarat Titans,54,runs,True,-5.827,5.827
389,2013,2013-04-13,"Punjab Cricket Association Stadium, Mohali",Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,Gujarat Titans,182,8,19.4,Lucknow Super Giants,192,7,13.9,Gujarat Titans,10,runs,True,-4.428,4.428
390,2013,2013-03-09,"Wankhede Stadium, Mumbai",Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Delhi Capitals,226,7,19.1,Gujarat Titans,191,5,18.1,Gujarat Titans,5,wickets,True,1.258,-1.258
391,2013,2013-03-16,"Rajiv Gandhi International Stadium, Hyderabad",Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,field,Rajasthan Royals,146,9,19.8,Lucknow Super Giants,213,7,16.1,Rajasthan Royals,67,runs,False,-5.875,5.875
392,2013,2013-04-05,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,Sunrisers Hyderabad,212,2,18.8,Lucknow Super Giants,199,5,14.3,Lucknow Super Giants,5,wickets,False,-2.594,2.594
393,2013,2013-04-07,"Sawai Mansingh Stadium, Jaipur",Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,bat,Kolkata Knight Riders,227,2,18.9,Gujarat Titans,80,2,17.1,Gujarat Titans,8,wickets,True,7.289,-7.289
394,2013,2013-04-14,"M.A. Chidambaram Stadium, Chennai",Punjab Kings,Delhi Capitals,Punjab Kings,bat,Punjab Kings,157,9,19.1,Delhi Capitals,161,8,12.3,Punjab Kings,4,runs,True,-4.915,4.915
395,2013,2013-03-09,"Ekana Cricket Stadium, Lucknow",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,Kolkata Knight Riders,146,8,19.7,Rajasthan Royals,177,5,13.4,Kolkata Knight Riders,31,runs,True,-5.768,5.768
396,2013,2013-04-06,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,176,6,19.0,Sunrisers Hyderabad,158,7,15.0,Sunrisers Hyderabad,3,wickets,True,-1.257,1.257
397,2013,2013-03-09,"Narendra Modi Stadium, Ahmedabad",Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Lucknow Super Giants,121,5,19.7,Royal Challengers Bengaluru,113,3,17.6,Royal Challengers Bengaluru,7,wickets,False,-0.263,0.263
398,2013,2013-04-23,"Eden Gardens, Kolkata",Rajasthan Royals,Gujarat Titans,Gujarat Titans,bat,Rajasthan Royals,135,8,18.5,Gujarat Titans,189,7,10.7,Rajasthan Royals,54,runs,True,-10.31,10.31
399,2013,2013-03-24,"Rajiv Gandhi International Stadium, Hyderabad",Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Delhi Capitals,218,8,18.8,Rajasthan Royals,97,5,17.8,Rajasthan Royals,5,wickets,False,6.156,-6.156
400,2013,2013-03-13,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders,148,2,20.0,Mumbai Indians,165,8,18.8,Kolkata Knight Riders,17,runs,True,-1.362,1.362
401,2014,2014-04-06,"M.A. Chidambaram Stadium, Chennai",Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,228,3,19.9,Punjab Kings,195,1,11.4,Punjab Kings,9,wickets,False,-5.583,5.583
402,2014,2014-03-05,"Punjab Cricket Association Stadium, Mohali",Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,bat,Lucknow Super Giants,176,6,19.8,Royal Challengers Bengaluru,217,6,16.9,Lucknow Super Giants,41,runs,True,-3.908,3.908
403,2014,2014-04-26,"Ekana Cricket Stadium, Lucknow",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,146,4,18.9,Sunrisers Hyderabad,102,8,16.7,Sunrisers Hyderabad,2,wickets,True,1.611,-1.611
404,2014,2014-03-02,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,142,2,19.9,Punjab Kings,157,6,14.2,Chennai Super Kings,15,runs,True,-3.965,3.965
405,2014,2014-03-02,"M. Chinnaswamy Stadium, Bengaluru",Gujarat Titans,Delhi Capitals,Gujarat Titans,field,Gujarat Titans,175,6,18.6,Delhi Capitals,187,1,18.2,Gujarat Titans,12,runs,False,-0.866,0.866
406,2014,2014-04-06,"Eden Gardens, Kolkata",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,149,3,19.7,Punjab Kings,194,3,12.1,Sunrisers Hyderabad,45,runs,True,-8.474,8.474
407,2014,2014-03-26,"Wankhede Stadium, Mumbai",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Punjab Kings,217,5,19.8,Kolkata Knight Riders,160,1,12.1,Kolkata Knight Riders,9,wickets,True,-2.212,2.212
408,2014,2014-04-18,"M. Chinnaswamy Stadium, Bengaluru",Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,bat,Punjab Kings,157,3,18.3,Royal Challengers Bengaluru,225,4,15.8,Punjab Kings,68,runs,True,-5.679,5.679
409,2014,2014-03-22,"Eden Gardens, Kolkata",Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Royal Challengers Bengaluru,206,9,18.6,Punjab Kings,218,6,12.8,Royal Challengers Bengaluru,12,runs,False,-6.007,6.007
410,2014,2014-03-12,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Mumbai Indians,129,3,18.2,Chennai Super Kings,169,4,19.5,Mumbai Indians,40,runs,True,-1.564,1.564
411,2014,2014-03-01,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Punjab Kings,Punjab Kings,bat,Mumbai Indians,206,6,19.5,Punjab Kings,228,4,13.0,Mumbai Indians,22,runs,False,-6.984,6.984
